,Stock,Fast_MA,Slow_MA,Return
567,AMICA,95,96,"1987,060124"
324,AMICA,50,51,"1700,950321"
742,AMICA,145,146,"1503,583067"
469,AMICA,75,76,"1305,418933"
356,AMICA,55,61,"1254,030134"
385,AMICA,60,61,"1252,436374"
177,AMICA,25,141,"1229,904592"
470,AMICA,75,81,"1218,987336"
754,AMICA,150,151,"1198,188768"
326,AMICA,50,61,"1192,700257"
294,AMICA,45,56,"1152,099221"
357,AMICA,55,66,"1105,790532"
729,AMICA,140,141,"1098,817832"
775,AMICA,160,161,"1097,024852"
327,AMICA,50,66,"1082,053469"
387,AMICA,60,71,"1067,400838"
312,AMICA,45,146,"1066,046142"
141,AMICA,20,141,"1057,16093"
792,AMICA,170,171,"1054,750368"
103,AMICA,15,136,"1051,204252"
142,AMICA,20,146,"1050,596631"
104,AMICA,15,141,"1042,21943"
229,AMICA,35,56,"1032,368001"
296,AMICA,45,66,"1018,482367"
295,AMICA,45,61,"1016,769075"
279,AMICA,40,141,"1016,22122"
386,AMICA,60,66,"1015,055783"
414,AMICA,65,66,"1009,54735"
496,AMICA,80,86,"999,974829"
102,AMICA,15,131,"996,139844"
274,AMICA,40,116,"992,464235"
211,AMICA,30,136,"981,148539"
249,AMICA,35,156,"981,118656"
212,AMICA,30,141,"976,656128"
210,AMICA,30,131,"974,843226"
715,AMICA,135,136,"974,833265"
214,AMICA,30,151,"973,827204"
178,AMICA,25,146,"971,825043"
443,AMICA,70,76,"965,778716"
247,AMICA,35,146,"959,194495"
215,AMICA,30,156,"955,747989"
159,AMICA,25,51,"950,219634"
684,AMICA,125,126,"941,882277"
442,AMICA,70,71,"936,762323"
293,AMICA,45,51,"931,771862"
139,AMICA,20,131,"931,761901"
176,AMICA,25,136,"919,639364"
261,AMICA,40,51,"918,463966"
105,AMICA,15,146,"912,318029"
248,AMICA,35,151,"909,578754"
415,AMICA,65,71,"907,825618"
226,AMICA,35,41,"903,512505"
246,AMICA,35,141,"898,233175"
245,AMICA,35,136,"886,658493"
213,AMICA,30,146,"881,199865"
192,AMICA,30,41,"843,348065"
156,AMICA,25,36,"839,054874"
700,AMICA,130,131,"837,81971"
140,AMICA,20,136,"835,548602"
520,AMICA,85,86,"833,885115"
194,AMICA,30,51,"828,406565"
179,AMICA,25,151,"809,879105"
193,AMICA,30,46,"809,789456"
158,AMICA,25,46,"805,277123"
765,AMICA,155,156,"802,966171"
292,AMICA,45,46,"799,698963"
262,AMICA,40,56,"775,384162"
259,AMICA,40,41,"774,657009"
191,AMICA,30,36,"732,83077"
675,AMICA,120,161,"713,277327"
260,AMICA,40,46,"689,00237"
157,AMICA,25,41,"664,448505"
263,AMICA,40,61,"661,041843"
230,AMICA,35,61,"615,231204"
190,AMICA,30,31,"593,207433"
667,AMICA,120,121,"590,48808"
195,AMICA,30,56,"560,774417"
227,AMICA,35,46,"556,949393"
784,AMICA,165,166,"534,447494"
328,AMICA,50,71,"532,893578"
544,AMICA,90,91,"485,807931"
332,AMICA,50,91,"484,30382"
228,AMICA,35,51,"483,945224"
718,AMICA,135,151,"470,019746"
358,AMICA,55,71,"448,035819"
154,AMICA,25,26,"428,781206"
79,AMICA,15,16,"426,779045"
800,AMICA,175,181,"412,933255"
300,AMICA,45,86,"396,836279"
225,AMICA,35,36,"360,309292"
641,AMICA,110,166,"344,331848"
36,AMICA,5,186,"332,647595"
325,AMICA,50,56,"317,168201"
267,AMICA,40,81,"310,833005"
334,AMICA,50,101,"309,209362"
301,AMICA,45,91,"290,134047"
360,AMICA,55,81,"289,038337"
444,AMICA,70,81,"286,568009"
705,AMICA,130,156,"278,240613"
389,AMICA,60,81,"273,100737"
270,AMICA,40,96,"272,313818"
719,AMICA,135,156,"268,767702"
521,AMICA,85,91,"266,486633"
806,AMICA,180,186,"265,699714"
717,AMICA,135,146,"261,237186"
302,AMICA,45,96,"249,074805"
272,AMICA,40,106,"245,130249"
638,AMICA,110,151,"242,94879"
690,AMICA,125,156,"234,093461"
298,AMICA,45,76,"232,141105"
796,AMICA,170,191,"223,52484"
35,AMICA,5,181,"216,103895"
167,AMICA,25,91,"213,514035"
101,AMICA,15,126,"210,67515"
730,AMICA,140,146,"207,268488"
304,AMICA,45,106,"206,481569"
388,AMICA,60,76,"205,714572"
794,AMICA,170,181,"205,146795"
801,AMICA,175,186,"204,688589"
42,AMICA,10,21,"197,098307"
335,AMICA,50,106,"196,082285"
175,AMICA,25,131,"195,962753"
299,AMICA,45,81,"189,537908"
271,AMICA,40,101,"188,123446"
759,AMICA,150,176,"185,095302"
127,AMICA,20,71,"184,686901"
20,AMICA,5,106,"183,232595"
238,AMICA,35,101,"182,435715"
476,AMICA,75,111,"182,027314"
818,AMICA,195,201,"181,628874"
242,AMICA,35,121,"178,550925"
303,AMICA,45,101,"178,331783"
160,AMICA,25,56,"175,054614"
204,AMICA,30,101,"171,398927"
39,AMICA,5,201,"169,874894"
206,AMICA,30,111,"166,916477"
26,AMICA,5,136,"164,784823"
495,AMICA,80,81,"163,320556"
234,AMICA,35,81,"159,196702"
313,AMICA,45,151,"158,270329"
653,AMICA,115,136,"157,114853"
359,AMICA,55,76,"155,79004"
137,AMICA,20,121,"155,740235"
241,AMICA,35,116,"154,285929"
362,AMICA,55,91,"153,3994"
60,AMICA,10,111,"147,82124"
642,AMICA,110,171,"144,942511"
704,AMICA,130,151,"141,924328"
757,AMICA,150,166,"135,678781"
130,AMICA,20,86,"132,630715"
